Code,Longitude,Latitude,Province,District,PGA_NS,PGA_EW,PGA_UD,Rjb,Rrup,Repi,Rhyp
"1619",29.2907,40.42236,"Bursa","Orhangazi",18.0425437363,18.5012119131,8.16719028458,95.44595377026005,95.48516051763174,100.80159853,101.038847312
"1651",29.089303,40.205487,"Bursa","Yıldırım",11.733557185,9.48599788807,4.45329838447,94.40476086857366,94.44439984782507,101.953957856,102.188531267
"1645",29.06555,40.17828,"Bursa","Yıldırım",7.37190798291,5.63632594815,4.09100960238,95.00919778988391,95.04858469562062,102.778570488,103.011266139
"5912",27.11453,41.22243,"Tekirdağ","Hayrabolu",21.6276695319,18.1294249425,8.92314914783,98.38854426082362,99.01315106860491,102.974974426,103.207227257
"3908",27.529315,41.619977,"Kırklareli","Pınarhisar",30.7287119092,32.7886792756,11.3994448416,95.00955580420533,95.6111326736237,103.519769259,103.750802539
"1643",29.05457,40.15546,"Bursa","Osmangazi",19.511873442,16.5604005763,5.95742028442,96.1473070234981,96.18622789066058,104.058571436,104.288411097
"1020",28.16411,39.91714,"Balıkesir","Susurluk",20.9803481446,15.9262428076,9.92934363757,95.36180982846166,95.62261166122839,105.061747564,105.289397383
"1644",29.10741,40.17834,"Bursa","Yıldırım",7.79184843431,7.66708503982,2.56840782007,97.58118898904567,97.61953816976974,105.19550999,105.422870963
"1620",29.1296,40.1824,"Bursa","Yıldırım",9.23663472354,7.07950830617,3.69461309504,98.66880723383154,98.70673385798099,106.182289312,106.407541855
"1652",29.139033,40.188565,"Bursa","Yıldırım",8.84615349999,6.52247621115,3.71222256215,98.81175709448017,98.8496288716444,106.260375178,106.485462543
"1636",29.194618,40.217092,"Bursa","Gürsu",19.7064960278,24.5976897038,7.88788046857,100.40867350754671,100.44594319089444,107.505703731,107.728189136
"7712",29.50883,40.69286,"Yalova","Altınova",18.1943242197,10.7955556779,5.65438773883,105.70144642618803,105.73685055150631,108.075495012,108.296809842
"1655",29.412467,40.3974,"Bursa","Orhangazi",15.4682400892,24.6842023508,6.27748478718,106.01313977366112,106.04843984063646,111.183804831,111.398944594
"5913",26.89229,40.88824,"Tekirdağ","Malkara",25.1800169512,27.5534818208,10.1184476664,112.58894375104532,113.13517886911383,113.730925678,113.941256161
"3906",27.776703,41.822928,"Kırklareli","Demirköy",30.4891322993,38.0668241609,15.9888765703,104.48115659014705,104.86988646547888,113.970250753,114.180140378
"3903",27.9853,41.8815,"Kırklareli","Demirköy",20.6734459041,18.3671157824,7.01795977192,105.91250365089759,106.09207934774315,115.625506132,115.832396454
"3904",27.08565,41.43276,"Kırklareli","Babaeski",12.6105543329,12.4830585518,5.31959782491,109.97100209623343,110.53017572057011,116.062208153,116.2683214
"1654",29.558275,40.480008,"Bursa","İznik",11.0840995084,11.6495223675,3.49035125607,114.43830059244723,114.47100257467211,118.588205869,118.789936321
"3410",29.60816,41.17189,"İstanbul","Şile",27.8527994644,27.5088535196,13.0360481883,117.50638382199972,101.93073067000262,119.554519926,119.754622603
"1640",28.986773,39.911173,"Bursa","Orhaneli",8.33778594479,9.36979265561,6.3021644544,113.94679163629974,113.9796346378141,122.817076011,123.011871622
"3909",26.915573,41.350385,"Kırklareli","Pehlivanköy",21.1507566539,21.1253548937,10.4304801049,118.90030199727958,119.41767146371015,123.973733256,124.16671429
"4145",29.738092,40.775342,"Kocaeli","Körfez",13.0768123868,27.1885897462,7.87729917667,124.5992787694531,124.62931460066355,126.043658897,126.233475545
"3901",27.21509,41.73774,"Kırklareli","Kırklareli Merkez",11.8460418539,11.3359727695,6.42927190443,122.1206452107407,122.62442835527486,130.07509056,130.259032639
"1023",28.166607,39.682455,"Balıkesir","Kepsut",10.8974923664,10.4514738722,4.26194885966,121.35244808709002,121.5799805109101,131.10341792,131.285919239
"1634",28.88207,39.77632,"Bursa","Büyükorhan",5.3766357114,5.8426546201,2.7011449437,122.75416985391342,122.7846570402292,132.069421519,132.250589792
"4137",29.81164,40.7746,"Kocaeli","Derince",15.9410780329,23.5803959775,8.94484489139,130.80872223843394,130.83733259897593,132.222761193,132.403719651
